study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,raw_se,adult_return,adult_sd,adult_se,pooled,resource_cat,scaled_return,scaled_se
BliegeBird_2002a,BliegeBird_2002a_fig1a,BliegeBird_2002a_fig1a_3,0.5,10.889464594127812,NA,NA,NA,NA,fish,net kcal/hr,569.7478991596638,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,1,NA
BliegeBird_2002a,BliegeBird_2002a_fig1a,BliegeBird_2002a_fig1a_4,0.5,10.889464594127812,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1a,BliegeBird_2002a_fig1a_5,0.5,11.450777202072544,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1a,BliegeBird_2002a_fig1a_6,0.5,12.910189982728845,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1a,BliegeBird_2002a_fig1a_7,0.5,14.70639032815199,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_1,0.5,4,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_2,0.5,6,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_3,0.5,8,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_4,0.5,11,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_5,0.5,12,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_6,0.5,13,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_7,0.5,14,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_8,0.5,12,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_9,0.5,12,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_10,0.5,15,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_11,0.5,18,NA,NA,NA,NA,fish,net kcal/hr,16.858237547892827,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0.050343249427917944,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_12,0.5,11,NA,NA,NA,NA,fish,net kcal/hr,24.52107279693496,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0.07322654462242592,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_13,0.5,11,NA,NA,NA,NA,fish,net kcal/hr,262.0689655172414,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0.7826086956521741,NA
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_14,0.5,11,NA,NA,NA,NA,fish,net kcal/hr,334.8659003831417,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,1,NA
BliegeBird_2002a,BliegeBird_2002a_fig3,BliegeBird_2002a_fig3_1,0.5,4.973118279569899,NA,NA,NA,NA,fish,net kcal/h,0,NA,NA,427.38589211618233,422.27251700098697,140.75750566699566,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig3,BliegeBird_2002a_fig3_2,0.5,6.586021505376351,NA,NA,NA,NA,fish,net kcal/h,121.16182572614093,NA,NA,427.38589211618233,422.27251700098697,140.75750566699566,0,fish_shellfish,0.08225352112676046,NA
BliegeBird_2002a,BliegeBird_2002a_fig3,BliegeBird_2002a_fig3_3,0.5,7.661290322580651,NA,NA,NA,NA,fish,net kcal/h,61.41078838174258,NA,NA,427.38589211618233,422.27251700098697,140.75750566699566,0,fish_shellfish,0.041690140845070306,NA
BliegeBird_2002a,BliegeBird_2002a_fig3,BliegeBird_2002a_fig3_4,0.5,10.887096774193552,NA,NA,NA,NA,fish,net kcal/h,270.5394190871368,NA,NA,427.38589211618233,422.27251700098697,140.75750566699566,0,fish_shellfish,0.18366197183098582,NA
BliegeBird_2002a,BliegeBird_2002a_fig3,BliegeBird_2002a_fig3_5,0.5,12.903225806451616,NA,NA,NA,NA,fish,net kcal/h,1473.0290456431537,NA,NA,427.38589211618233,422.27251700098697,140.75750566699566,0,fish_shellfish,1,NA
BliegeBird_2002a,BliegeBird_2002a_fig3,BliegeBird_2002a_fig3_8,0.5,18.817204301075268,NA,NA,NA,NA,fish,net kcal/h,68.87966804979237,NA,NA,427.38589211618233,422.27251700098697,140.75750566699566,0,fish_shellfish,0.046760563380281575,NA
BliegeBird_2002a,BliegeBird_2002a_fig5a,BliegeBird_2002a_fig5a_1,0,7.218225419664265,NA,NA,NA,NA,shellfish,net kcal/hr,523.6363636363634,NA,NA,1096.6233766233763,716.7166379254095,156.4003926251165,0,fish_shellfish,0.43243243243243235,NA
BliegeBird_2002a,BliegeBird_2002a_fig5a,BliegeBird_2002a_fig5a_2,0,6.211031175059951,NA,NA,NA,NA,shellfish,net kcal/hr,981.8181818181816,NA,NA,1096.6233766233763,716.7166379254095,156.4003926251165,0,fish_shellfish,0.810810810810811,NA
BliegeBird_2002a,BliegeBird_2002a_fig5a,BliegeBird_2002a_fig5a_3,0,12.589928057553948,NA,NA,NA,NA,shellfish,net kcal/hr,1210.9090909090905,NA,NA,1096.6233766233763,716.7166379254095,156.4003926251165,0,fish_shellfish,1,NA
BliegeBird_2002a,BliegeBird_2002a_fig5a,BliegeBird_2002a_fig5a_4,0,11.918465227817741,NA,NA,NA,NA,shellfish,net kcal/hr,785.4545454545452,NA,NA,1096.6233766233763,716.7166379254095,156.4003926251165,0,fish_shellfish,0.6486486486486486,NA
BliegeBird_2002a,BliegeBird_2002a_fig5a,BliegeBird_2002a_fig5a_26,0,11.247002398081534,NA,NA,NA,NA,shellfish,net kcal/hr,381.81818181818164,NA,NA,1096.6233766233763,716.7166379254095,156.4003926251165,0,fish_shellfish,0.31531531531531526,NA
BliegeBird_2002a,BliegeBird_2002a_fig5a,BliegeBird_2002a_fig5a_27,0,10.57553956834532,NA,NA,NA,NA,shellfish,net kcal/hr,283.6363636363636,NA,NA,1096.6233766233763,716.7166379254095,156.4003926251165,0,fish_shellfish,0.23423423423423428,NA
BliegeBird_2002a,BliegeBird_2002a_fig5a,BliegeBird_2002a_fig5a_28,0,11.41486810551558,NA,NA,NA,NA,shellfish,net kcal/hr,250.90909090909088,NA,NA,1096.6233766233763,716.7166379254095,156.4003926251165,0,fish_shellfish,0.20720720720720726,NA
BliegeBird_2002a,BliegeBird_2002a_fig5b,BliegeBird_2002a_fig5b_1,1,5.203836930455633,NA,NA,NA,NA,shellfish,net kcal/hr,152.72727272727388,NA,NA,2113.0069930069935,1572.2177920885176,436.0547588901486,0,fish_shellfish,0.14285714285714382,NA
BliegeBird_2002a,BliegeBird_2002a_fig5b,BliegeBird_2002a_fig5b_2,1,8.225419664268586,NA,NA,NA,NA,shellfish,net kcal/hr,414.54545454545587,NA,NA,2113.0069930069935,1572.2177920885176,436.0547588901486,0,fish_shellfish,0.38775510204081726,NA
BliegeBird_2002a,BliegeBird_2002a_fig5b,BliegeBird_2002a_fig5b_3,1,8.896882494004796,NA,NA,NA,NA,shellfish,net kcal/hr,152.72727272727388,NA,NA,2113.0069930069935,1572.2177920885176,436.0547588901486,0,fish_shellfish,0.14285714285714382,NA
BliegeBird_2002a,BliegeBird_2002a_fig5b,BliegeBird_2002a_fig5b_4,1,10.91127098321343,NA,NA,NA,NA,shellfish,net kcal/hr,283.63636363636465,NA,NA,2113.0069930069935,1572.2177920885176,436.0547588901486,0,fish_shellfish,0.26530612244898033,NA
BliegeBird_2002a,BliegeBird_2002a_fig5b,BliegeBird_2002a_fig5b_5,1,14.268585131894486,NA,NA,NA,NA,shellfish,net kcal/hr,283.63636363636465,NA,NA,2113.0069930069935,1572.2177920885176,436.0547588901486,0,fish_shellfish,0.26530612244898033,NA
BliegeBird_2002a,BliegeBird_2002a_fig5b,BliegeBird_2002a_fig5b_6,1,13.261390887290165,NA,NA,NA,NA,shellfish,net kcal/hr,501.8181818181829,NA,NA,2113.0069930069935,1572.2177920885176,436.0547588901486,0,fish_shellfish,0.46938775510204145,NA
BliegeBird_2002a,BliegeBird_2002a_fig5b,BliegeBird_2002a_fig5b_7,1,11.918465227817752,NA,NA,NA,NA,shellfish,net kcal/hr,1069.09090909091,NA,NA,2113.0069930069935,1572.2177920885176,436.0547588901486,0,fish_shellfish,1,NA
