"","study","outcome","id","sex","age","age_error","age_sd","age_lower","age_upper","resource","units","raw_return","raw_sd","adult_return","adult_sd","adult_se"
"62","BliegeBird_1995","BliegeBird_1995_table3_intertidal total weight (g/h)","BliegeBird_1995_table3_9","female",10,NA,NA,NA,NA,"shellfish","g/h",179.418604651163,NA,NA,NA,NA
"63","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_9","female",10,NA,NA,NA,NA,"mixed","kcal/day",655,NA,NA,NA,NA
"64","BliegeBird_1995","BliegeBird_1995_table3_fruit total weight (g/h)","BliegeBird_1995_table3_10","female",7,NA,NA,NA,NA,"fruit","g/h",964.41717791411,NA,NA,NA,NA
"65","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_10","female",7,NA,NA,NA,NA,"mixed","kcal/day",655,NA,NA,NA,NA
"66","BliegeBird_1995","BliegeBird_1995_table3_intertidal total weight (g/h)","BliegeBird_1995_table3_11","female",6,NA,NA,NA,NA,"shellfish","g/h",5.17241379310345,NA,NA,NA,NA
"67","BliegeBird_1995","BliegeBird_1995_table3_fruit total weight (g/h)","BliegeBird_1995_table3_11","female",6,NA,NA,NA,NA,"fruit","g/h",384.615384615385,NA,NA,NA,NA
"68","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_11","female",6,NA,NA,NA,NA,"mixed","kcal/day",125,NA,NA,NA,NA
"69","BliegeBird_1995","BliegeBird_1995_table3_fruit total weight (g/h)","BliegeBird_1995_table3_12","female",3,NA,NA,NA,NA,"fruit","g/h",630.769230769231,NA,NA,NA,NA
"70","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_12","female",3,NA,NA,NA,NA,"mixed","kcal/day",400,NA,NA,NA,NA
"71","BliegeBird_2002a","BliegeBird_2002a_fig1a","BliegeBird_2002a_fig1a_1","both",7.74611398963732,NA,NA,NA,NA,"fish","net kcal/hr",-156.302521008403,NA,75.0700280112044,371.713351707532,71.5362678899072
"72","BliegeBird_2002a","BliegeBird_2002a_fig1a","BliegeBird_2002a_fig1a_2","both",11.1139896373057,NA,NA,NA,NA,"fish","net kcal/hr",-10.0840336134454,NA,75.0700280112044,371.713351707532,71.5362678899072
"73","BliegeBird_2002a","BliegeBird_2002a_fig1a","BliegeBird_2002a_fig1a_3","both",10.8894645941278,NA,NA,NA,NA,"fish","net kcal/hr",569.747899159664,NA,75.0700280112044,371.713351707532,71.5362678899072
"74","BliegeBird_2002a","BliegeBird_2002a_fig1a","BliegeBird_2002a_fig1a_4","both",10.8894645941278,NA,NA,NA,NA,"fish","net kcal/hr",-206.72268907563,NA,75.0700280112044,371.713351707532,71.5362678899072
