study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_19,NA,14,NA,NA,NA,NA,honey,g/h,112,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_19,NA,14,NA,NA,NA,NA,fruit,g/h,583,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_20,NA,14,NA,NA,NA,NA,tubers,g/h,3922,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_20,NA,14,NA,NA,NA,NA,honey,g/h,112,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_20,NA,14,NA,NA,NA,NA,fruit,g/h,583,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_21,NA,14,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_21,NA,14,NA,NA,NA,NA,honey,g/h,159,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_21,NA,14,NA,NA,NA,NA,fruit,g/h,968,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_22,NA,15,NA,NA,NA,NA,tubers,g/h,589,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_22,NA,15,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_22,NA,15,NA,NA,NA,NA,fruit,g/h,NA,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_23,NA,15,NA,NA,NA,NA,tubers,g/h,1022,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_23,NA,15,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_23,NA,15,NA,NA,NA,NA,fruit,g/h,807,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_24,NA,14,NA,NA,NA,NA,tubers,g/h,1418,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_24,NA,14,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_24,NA,14,NA,NA,NA,NA,fruit,g/h,NA,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_25,NA,15,NA,NA,NA,NA,tubers,g/h,797,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_25,NA,15,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_25,NA,15,NA,NA,NA,NA,fruit,g/h,1357,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_26,NA,17,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_26,NA,17,NA,NA,NA,NA,honey,g/h,144,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_26,NA,17,NA,NA,NA,NA,fruit,g/h,1481,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_27,NA,18,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_27,NA,18,NA,NA,NA,NA,honey,g/h,190,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_27,NA,18,NA,NA,NA,NA,fruit,g/h,1481,NA,1934,NA,NA
